ID	Procrustes Distance
ILH_Zvejnieki_34.62.142_miss.mrk	0.0387356
ILH_Zvejnieki_34.152.279_miss_mirror.mrk	0.0410687
ILH_Zvejnieki_34.150.276.mrk	0.0418311
ILH_Zvejnieki_34.107.217.mrk	0.0421489
ILH_Zvejnieki_34.59.137_miss_mirror.mrk	0.0422285
ILH_Zvejnieki_34.163.294.mrk	0.0469644
ILH_Zvejnieki_34.22.63_miss.mrk	0.0497362
ILH_Zvejnieki_34.56.130_miss.mrk	0.0511382
ILH_Zvejnieki_34.46.115_mirror.mrk	0.0515753
ILH_Zvejnieki_34.98.200_miss.mrk	0.0516737
ILH_Zvejnieki_34.26.71_miss_mirror.mrk	0.0518266
ILH_Zvejnieki_34.119.235_miss.mrk	0.0523388
ILH_Zvejnieki_34.53.124_miss_mirror.mrk	0.05254
ILH_Zvejnieki_34.30.76_miss_mirror.mrk	0.0527511
ILH_Zvejnieki_34.111.316_miss.mrk	0.0530706
ILH_Zvejnieki_34.128.251_miss_mirror.mrk	0.0533642
ILH_Zvejnieki_34.69.157_miss.mrk	0.0534492
ILH_Zvejnieki_34.109.220_miss.mrk	0.0541887
ILH_Zvejnieki_34.83.179.mrk	0.0542923
ILH_Zvejnieki_34.84.180_miss_mirror.mrk	0.0554688
ILH_Zvejnieki_34.96.198_miss_mirror.mrk	0.0555993
ILH_Zvejnieki_34.104.210_miss.mrk	0.0564544
ILH_Zvejnieki_34.85.181_mirror.mrk	0.0573768
ILH_Zvejnieki_34.29.74_miss_mirror.mrk	0.0575643
ILH_Zvejnieki_34.44.113_miss.mrk	0.0575859
ILH_Zvejnieki_34.173.308_miss_mirror.mrk	0.0585731
ILH_Zvejnieki_34.146.271_miss.mrk	0.0588442
ILH_Zvejnieki_34.115.228.mrk	0.0589788
ILH_Zvejnieki_34.66.153.mrk	0.0594816
ILH_Zvejnieki_34.63.146_miss.mrk	0.0596242
ILH_Zvejnieki_34.88.184_miss.mrk	0.0600103
ILH_Zvejnieki_34.81.177_miss.mrk	0.0601834
ILH_Zvejnieki_34.102.208_miss_mirror.mrk	0.0606089
ILH_Zvejnieki_34.97.199_miss_mirror.mrk	0.0616352
ILH_Zvejnieki_34.139.263.mrk	0.0623565
ILH_Zvejnieki_34.148.274_miss.mrk	0.0630989
ILH_Zvejnieki_34.117.233_miss_mirror.mrk	0.0632918
ILH_Zvejnieki_34.136.259_miss.mrk	0.0634264
ILH_Zvejnieki_34.118.234.mrk	0.0636599
ILH_Zvejnieki_34.156.285_mirror.mrk	0.0637326
ILH_Zvejnieki_34.134.256_miss_mirror.mrk	0.0637527
ILH_Zvejnieki_34.106.213_miss.mrk	0.0639201
ILH_Zvejnieki_34.166.298.mrk	0.0643498
ILH_Zvejnieki_34.6.35_merged_miss_mirror.mrk	0.0645461
ILH_Zvejnieki_34.127.250_miss.mrk	0.0647521
ILH_Zvejnieki_34.126.248_miss_mirror.mrk	0.0652864
ILH_Zvejnieki_34.67.154_miss.mrk	0.0654409
ILH_Zvejnieki_34.79.170_miss_mirror.mrk	0.065685
ILH_Zvejnieki_34.126.246_miss.mrk	0.0660148
ILH_Zvejnieki_34.110.221_miss.mrk	0.0671022
ILH_Zvejnieki_34.145.269_miss.mrk	0.0672428
ILH_Zvejnieki_34.89.185_miss_mirror.mrk	0.0674156
ILH_Zvejnieki_34.74.164_mirror.mrk	0.0674709
ILH_Zvejnieki_34.141.265_mirror.mrk	0.0683281
ILH_Zvejnieki_34.122.241_miss_mirror.mrk	0.0683931
ILH_Zvejnieki_34.50.121_miss.mrk	0.068653
ILH_Zvejnieki_34.61.141_mirror.mrk	0.0686545
ILH_Zvejnieki_34.58.134.mrk	0.0690203
ILH_Zvejnieki_34.176.105_miss_mirror.mrk	0.0700461
ILH_Zvejnieki_34.148.68_miss.mrk	0.0701569
ILH_Zvejnieki_34.173.307_miss_mirror.mrk	0.0708728
ILH_Zvejnieki_34.71.160.mrk	0.0709454
ILH_Zvejnieki_34.133.255_miss_mirror.mrk	0.0719407
ILH_Zvejnieki_34.51.122_mirror.mrk	0.0724096
ILH_Zvejnieki_34.130.252_miss.mrk	0.0733905
ILH_Zvejnieki_34.75.165_miss.mrk	0.073682
ILH_Zvejnieki_34.14.48_miss.mrk	0.0775448
ILH_Zvejnieki_34.172.305.mrk	0.0779919
ILH_Zvejnieki_34.167.300_mirror.mrk	0.0788524
ILH_Zvejnieki_34.132.254_miss.mrk	0.0789673
ILH_Zvejnieki_34.3.16.mrk	0.0790715
ILH_Zvejnieki_34.116.229.mrk	0.0809801
ILH_Zvejnieki_34.19.60_miss_mirror.mrk	0.0821009
ILH_Zvejnieki_34.UNK.47_mirror.mrk	0.0826775
ILH_Zvejnieki_34.161.292_miss_mirror.mrk	0.0834402
ILH_Zvejnieki_34.95.197_miss.mrk	0.0854765
ILH_Zvejnieki_34.1.9_merged_mirror.mrk	0.0874188
ILH_Zvejnieki_34.101.206_miss_mirror.mrk	0.0972083
ILH_Zvejnieki_34.112.317.mrk	0.106921
ILH_Zvejnieki_34.120.236_miss.mrk	0.128315
ILH_Zvejnieki_34.118.328.mrk	0.197487
ILH_Zvejnieki_34.111.222_miss.mrk	0.252213
ILH_Zvejnieki_34.124.243_mirror.mrk	0.261331
ILH_Zvejnieki_34.36.96_miss_mirror.mrk	0.267203
ILH_Zvejnieki_34.165.297_miss_mirror.mrk	0.281978
ILH_Zvejnieki_34.43.112_miss_mirror.mrk	0.290285
ILH_Zvejnieki_34.10.39_miss.mrk	0.328873
