specimen,side,missing,culture,period,sex
ILH_Zvejnieki_34.1.9,Left,0,Kunda,MM,Female
ILH_Zvejnieki_34.3.16,Right,0,Narva,LM/EN,Female
ILH_Zvejnieki_34.6.35,Left,2,Narva,LM/EN,Male
ILH_Zvejnieki_34.10.39,Right,4,Kunda/Narva,MM,Male
ILH_Zvejnieki_34.UNK.47,Left,0,Kunda/Narva,LM,Male
ILH_Zvejnieki_34.14.48,Right,2,Kunda,MM,NA
ILH_Zvejnieki_34.19.60,Left,1,Kunda/Narva,LM,Male
ILH_Zvejnieki_34.22.63,Right,2,Kunda/Narva,MM,Male
ILH_Zvejnieki_34.148.68,Right,1,Kunda/Narva,LM,NA
ILH_Zvejnieki_34.26.71,Left,3,Kunda,MM,Female
ILH_Zvejnieki_34.29.74,Left,1,Kunda,MM,Female
ILH_Zvejnieki_34.30.76,Left,2,Kunda,MM,Female
ILH_Zvejnieki_34.36.96,Left,1,Comb Ware,MN,Male
ILH_Zvejnieki_34.176.105,Left,1,NA,NA,NA
ILH_Zvejnieki_34.43.112,Left,2,NA,LBA/IA,Male
ILH_Zvejnieki_34.44.113,Right,4,Narva,LM/EN,Male
ILH_Zvejnieki_34.46.115,Left,0,Narva,LM/EN,Male
ILH_Zvejnieki_34.50.121,Right,2,Narva,LM/EN,Female
ILH_Zvejnieki_34.51.122,Left,0,Narva,LM/EN,Male
ILH_Zvejnieki_34.53.124,Left,3,Comb Ware,MN,Male
ILH_Zvejnieki_34.56.130,Right,1,Kunda,MM,Male
ILH_Zvejnieki_34.58.134,Right,0,NA,LBA/IA,Male
ILH_Zvejnieki_34.59.137,Left,4,Corded Ware,LN,Male
ILH_Zvejnieki_34.61.141,Left,0,NA,NA,Male
ILH_Zvejnieki_34.62.142,Right,4,NA,NA,Male
ILH_Zvejnieki_34.63.146,Right,2,NA,NA,Female
ILH_Zvejnieki_34.66.153,Right,0,Comb Ware,MN,Male
ILH_Zvejnieki_34.67.154,Right,4,Kunda,MM,Male
ILH_Zvejnieki_34.69.157,Right,2,NA,EIA,Female
ILH_Zvejnieki_34.71.160,Right,0,Comb Ware,MN,Male
ILH_Zvejnieki_34.74.164,Left,0,Comb Ware,MN,Male
ILH_Zvejnieki_34.75.165,Right,1,Comb Ware,MN,Male
ILH_Zvejnieki_34.79.170,Left,1,Kunda,MM,Male
ILH_Zvejnieki_34.81.177,Right,4,Narva,LM/EN,Male
ILH_Zvejnieki_34.83.179,Right,0,Narva,LM/EN,Male
ILH_Zvejnieki_34.84.180,Left,1,Narva,LM/EN,Male
ILH_Zvejnieki_34.85.181,Left,0,Narva,LM/EN,Male
ILH_Zvejnieki_34.88.184,Right,3,Comb Ware,MN,Male
ILH_Zvejnieki_34.89.185,Left,3,Comb Ware,MN,Male
ILH_Zvejnieki_34.95.197,Right,1,Narva,EN/MN,Male
ILH_Zvejnieki_34.96.198,Left,3,Comb Ware,MN,Female
ILH_Zvejnieki_34.97.199,Left,1,Comb Ware,MN,Female
ILH_Zvejnieki_34.98.200,Right,1,Comb Ware,MN,Male
ILH_Zvejnieki_34.101.206,Left,2,Comb Ware,MN,NA
ILH_Zvejnieki_34.102.208,Left,3,Comb Ware,MN,Male
ILH_Zvejnieki_34.104.210,Right,1,Comb Ware,MN,Male
ILH_Zvejnieki_34.106.213,Right,1,Comb Ware,MN,Female
ILH_Zvejnieki_34.107.217,Right,0,Comb Ware,MN,Female
ILH_Zvejnieki_34.109.220,Right,2,Comb Ware,MN,Male
ILH_Zvejnieki_34.110.221,Right,3,Comb Ware,MN,Male
ILH_Zvejnieki_34.111.222,Left,4,Comb Ware,MN,Female
ILH_Zvejnieki_34.115.228,Right,0,Comb Ware,MN,Male
ILH_Zvejnieki_34.116.229,Right,0,NA,NA,Female
ILH_Zvejnieki_34.117.233,Left,3,Comb Ware,NA,Female
ILH_Zvejnieki_34.118.234,Right,0,Comb Ware,MN,Male
ILH_Zvejnieki_34.119.235,Right,2,NA,NA,Male
ILH_Zvejnieki_34.120.236,Right,2,Comb Ware,MN,NA
ILH_Zvejnieki_34.122.241,Left,1,Narva,LM/EN,Male
ILH_Zvejnieki_34.124.243,Left,0,Comb Ware,MN,Female
ILH_Zvejnieki_34.126.246,Right,2,NA,NA,Female
ILH_Zvejnieki_34.126.248,Left,1,Comb Ware,MN,Female
ILH_Zvejnieki_34.127.250,Right,4,NA,NA,Male
ILH_Zvejnieki_34.128.251,Left,4,Narva,LM/EN,Male
ILH_Zvejnieki_34.130.252,Right,2,Comb Ware,MN,Male
ILH_Zvejnieki_34.132.254,Right,2,Comb Ware,MN,Male
ILH_Zvejnieki_34.133.255,Left,2,Comb Ware,MN,Female
ILH_Zvejnieki_34.134.256,Left,5,Comb Ware,MN,Female
ILH_Zvejnieki_34.136.259,Right,2,Comb Ware,MN,NA
ILH_Zvejnieki_34.139.263,Right,0,Comb Ware,MN,Male
ILH_Zvejnieki_34.141.265,Left,0,Comb Ware,MN,NA
ILH_Zvejnieki_34.145.269,Right,2,Comb Ware,MN,Male
ILH_Zvejnieki_34.146.271,Right,2,Comb Ware,MN,Male
ILH_Zvejnieki_34.148.274,Right,4,Comb Ware,MN,Male
ILH_Zvejnieki_34.150.276,Right,0,Comb Ware,MN,Male
ILH_Zvejnieki_34.152.279,Left,2,Comb Ware,MN,Male
ILH_Zvejnieki_34.156.285,Left,0,NA,MN,Male
ILH_Zvejnieki_34.161.292,Left,5,Comb Ware,MN,Male
ILH_Zvejnieki_34.163.294,Right,0,Comb Ware,MN,Female
ILH_Zvejnieki_34.165.297,Right,1,Narva,LM/EN,Male
ILH_Zvejnieki_34.166.298,Right,0,Comb Ware,MN,Male
ILH_Zvejnieki_34.167.300,Left,0,Comb Ware,MN,Male
ILH_Zvejnieki_34.172.305,Right,0,Kunda,MM,Male
ILH_Zvejnieki_34.173.307,Left,3,Narva,LM/EN,NA
ILH_Zvejnieki_34.173.308,Left,2,Narva,LM/EN,Female
ILH_Zvejnieki_34.111.316,Right,2,Comb Ware,MN,NA
ILH_Zvejnieki_34.112.317,Right,0,Comb Ware,MN,NA
