specimen,sex
ILH_Zvejnieki_34.1.9,Female
ILH_Zvejnieki_34.3.16,Female
ILH_Zvejnieki_34.6.35,Male
ILH_Zvejnieki_34.8.37,Male
ILH_Zvejnieki_34.10.39,Male
ILH_Zvejnieki_34.UNK.47,Male
ILH_Zvejnieki_34.14.48,
ILH_Zvejnieki_34.17.56,Male
ILH_Zvejnieki_34.19.60,Male
ILH_Zvejnieki_34.22.63,Male
ILH_Zvejnieki_34.23.64,Male
ILH_Zvejnieki_34.148.68,
ILH_Zvejnieki_34.26.71,Female
ILH_Zvejnieki_34.29.74,Female
ILH_Zvejnieki_34.30.76,Female
ILH_Zvejnieki_34.33.92,Male
ILH_Zvejnieki_34.36.96,Male
ILH_Zvejnieki_34.176.105,
ILH_Zvejnieki_34.43.112,Male
ILH_Zvejnieki_34.44.113,Male
ILH_Zvejnieki_34.46.115,Male
ILH_Zvejnieki_34.50.121,Female
ILH_Zvejnieki_34.51.122,Male
ILH_Zvejnieki_34.52.123,
ILH_Zvejnieki_34.53.124,Male
ILH_Zvejnieki_34.56.130,Male
ILH_Zvejnieki_34.57.132,Male
ILH_Zvejnieki_34.58.134,Male
ILH_Zvejnieki_34.59.137,Male
ILH_Zvejnieki_34.60.140,Female
ILH_Zvejnieki_34.61.141,Male
ILH_Zvejnieki_34.62.142,Male
ILH_Zvejnieki_34.63.146,Female
ILH_Zvejnieki_34.66.153,Male
ILH_Zvejnieki_34.67.154,Male
ILH_Zvejnieki_34.69.157,Female
ILH_Zvejnieki_34.70.159,
ILH_Zvejnieki_34.71.160,Male
ILH_Zvejnieki_34.72.162,Male
ILH_Zvejnieki_34.73.163,Male
ILH_Zvejnieki_34.74.164,Male
ILH_Zvejnieki_34.75.165,Male
ILH_Zvejnieki_34.79.170,Male
ILH_Zvejnieki_34.80.173,Male
ILH_Zvejnieki_34.81.177,Male
ILH_Zvejnieki_34.83.179,Male
ILH_Zvejnieki_34.84.180,Male
ILH_Zvejnieki_34.85.181,Male
ILH_Zvejnieki_34.88.184,Male
ILH_Zvejnieki_34.89.185,Male
ILH_Zvejnieki_34.90.187,Male
ILH_Zvejnieki_34.95.197,Male
ILH_Zvejnieki_34.96.198,Female
ILH_Zvejnieki_34.97.199,Female
ILH_Zvejnieki_34.98.200,Male
ILH_Zvejnieki_34.101.206,
ILH_Zvejnieki_34.102.207,
ILH_Zvejnieki_34.102.208,Male
ILH_Zvejnieki_34.104.210,Male
ILH_Zvejnieki_34.106.213,Female
ILH_Zvejnieki_34.107.217,Female
ILH_Zvejnieki_34.109.220,Male
ILH_Zvejnieki_34.110.221,Male
ILH_Zvejnieki_34.111.222,Female
ILH_Zvejnieki_34.115.228,Male
ILH_Zvejnieki_34.116.229,Female
ILH_Zvejnieki_34.117.233,Female
ILH_Zvejnieki_34.118.234,Male
ILH_Zvejnieki_34.119.235,Male
ILH_Zvejnieki_34.120.236,
ILH_Zvejnieki_34.122.240,Male
ILH_Zvejnieki_34.122.241,Male
ILH_Zvejnieki_34.123.242,Male
ILH_Zvejnieki_34.124.243,Female
ILH_Zvejnieki_34.125.244,Male
ILH_Zvejnieki_34.126.246,Female
ILH_Zvejnieki_34.126.248,Female
ILH_Zvejnieki_34.127.250,Male
ILH_Zvejnieki_34.128.251,Male
ILH_Zvejnieki_34.130.252,Male
ILH_Zvejnieki_34.132.254,Male
ILH_Zvejnieki_34.133.255,Female
ILH_Zvejnieki_34.134.256,Female
ILH_Zvejnieki_34.136.259,
ILH_Zvejnieki_34.139.263,Male
ILH_Zvejnieki_34.141.265,
ILH_Zvejnieki_34.142.266,Male
ILH_Zvejnieki_34.145.269,Male
ILH_Zvejnieki_34.146.271,Male
ILH_Zvejnieki_34.148.274,Male
ILH_Zvejnieki_34.150.276,Male
ILH_Zvejnieki_34.151.278,Male
ILH_Zvejnieki_34.152.279,Male
ILH_Zvejnieki_34.156.285,Male
ILH_Zvejnieki_34.161.292,Male
ILH_Zvejnieki_34.162.293,Female
ILH_Zvejnieki_34.163.294,Female
ILH_Zvejnieki_34.165.297,Male
ILH_Zvejnieki_34.166.298,Male
ILH_Zvejnieki_34.167.300,Male
ILH_Zvejnieki_34.168.301,Female
ILH_Zvejnieki_34.172.305,Male
ILH_Zvejnieki_34.173.307,
ILH_Zvejnieki_34.173.308,Female
ILH_Zvejnieki_34.111.316,
ILH_Zvejnieki_34.112.317,
